,Total:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Science and Engineering,,,,,,,,Science and Engineering Related Fields,Business,Education,"Arts, Humanities, and Other",,,,,,Male:,,,,,,,,,,,,,,,,,,Female:,,,,,,,,,,,,,,,,,
,,,"Computers, Mathematics, and Statistics","Biological, Agricultural, and Environmental Sciences",Physical and Related Sciences,Psychology,Social Sciences,Engineering,Multidisciplinary Studies,,,,,Literature and Languages,Liberal Arts and History,Visual and Performing Arts,Communications,Other,,Science and Engineering,,,,,,,,Science and Engineering Related Fields,Business,Education,"Arts, Humanities, and Other",,,,,,,Science and Engineering,,,,,,,,Science and Engineering Related Fields,Business,Education,"Arts, Humanities, and Other",,,,,
Label,,,,,,,,,,,,,,,,,,,,,"Computers, Mathematics, and Statistics","Biological, Agricultural, and Environmental Sciences",Physical and Related Sciences,Psychology,Social Sciences,Engineering,Multidisciplinary Studies,,,,,Literature and Languages,Liberal Arts and History,Visual and Performing Arts,Communications,Other,,,"Computers, Mathematics, and Statistics","Biological, Agricultural, and Environmental Sciences",Physical and Related Sciences,Psychology,Social Sciences,Engineering,Multidisciplinary Studies,,,,,Literature and Languages,Liberal Arts and History,Visual and Performing Arts,Communications,Other
Estimate,"77,030",,"86,405","76,274","90,449","61,812","84,434","120,605","61,379","71,943","82,437","71,994",,"72,446","65,758","65,213","71,587","56,679","87,735",,"84,788","77,602","102,532","69,417","87,101","122,067","79,129","97,793","93,254","90,944",,"88,966","65,753","80,493","72,332","61,310","69,604",,"92,058","74,436","42,063","60,992","60,859","97,798","60,568","70,652","71,792","66,123",,"64,389","67,540","55,630","63,309","53,241"
Margin of Error,"±2,525",,"±15,895","±4,708","±24,831","±4,358","±6,374","±16,153","±30,559","±4,698","±10,723","±5,038",,"±19,172","±18,128","±21,711","±12,667","±10,985","±5,679",,"±21,538","±4,271","±13,763","±13,892","±9,083","±10,144","±31,146","±30,807","±11,705","±12,747",,"±23,149","±17,855","±40,118","±70,218","±9,993","±3,763",,"±18,496","±8,332","±87,481","±3,265","±30,975","±32,987","±45,300","±3,136","±14,168","±11,763",,"±16,532","±35,332","±23,389","±29,531","±17,429"
District of Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimate,"111,265",,"122,406","100,252","130,895","119,089","115,213","131,835","109,091","90,911","125,913","89,159",,"97,440","105,831","78,239","99,528","86,309","121,540",,"122,065","97,553","140,114","144,363","127,665","134,927","200,993","91,042","129,803","131,648",,"112,958","107,393","78,733","89,897","97,888","101,715",,"124,298","101,037","120,394","106,441","108,767","112,836","91,588","90,715","111,819","78,144",,"88,642","103,314","76,889","110,347","85,875"
Margin of Error,"±3,098",,"±17,374","±16,510","±25,374","±21,159","±5,573","±9,639","±47,714","±4,192","±7,718","±36,998",,"±12,217","±22,948","±6,179","±13,385","±9,975","±3,176",,"±17,741","±25,209","±24,838","±12,551","±12,018","±16,684","±31,222","±8,602","±12,271","±54,146",,"±13,322","±26,931","±11,251","±28,986","±37,271","±1,392",,"±28,228","±22,129","±47,617","±22,018","±7,647","±41,614","±23,221","±10,439","±25,135","±13,935",,"±5,905","±28,136","±13,534","±12,393","±9,323"
Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimate,"65,408",,"90,385","66,747","70,315","55,397","71,881","91,300","56,506","67,052","71,734","51,953",,"56,318","60,719","49,415","62,635","60,499","81,614",,"96,512","81,567","86,311","65,603","90,733","96,151","71,263","80,227","87,040","59,330",,"67,287","70,095","52,585","75,017","72,607","56,154",,"67,589","56,740","60,201","52,433","56,981","72,017","55,094","63,060","60,014","51,329",,"52,847","51,041","45,121","60,120","51,827"
Margin of Error,±584,,"±5,420","±4,010","±6,340","±1,527","±3,591","±1,828","±7,074","±1,886","±1,078",±439,,"±2,558","±1,912","±3,521","±5,201","±1,887",±667,,"±6,069","±6,406","±10,523","±5,277","±3,986","±3,682","±24,064","±5,402","±3,529","±3,569",,"±10,798","±6,536","±4,107","±4,900","±3,398",±511,,"±9,064","±2,997","±4,662","±1,431","±3,920","±8,911","±7,570","±2,812","±3,180",±445,,"±3,183","±3,732","±3,244","±3,328","±2,258"
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimate,"72,513",,"98,688","77,039","81,997","60,710","80,622","106,135","54,196","73,874","80,445","57,943",,"65,825","65,451","54,519","65,661","61,867","90,294",,"102,408","92,983","92,384","70,871","100,203","111,714","70,857","86,873","94,953","63,298",,"81,000","76,899","60,047","66,340","72,708","61,925",,"77,245","67,273","71,507","58,335","67,393","91,356","47,716","70,168","66,982","57,071",,"58,817","51,113","50,697","65,412","56,595"
